armor,weapon,name,pose,primary_overlap_pixels,primary_gap_pixels,support_overlap_pixels,support_gap_pixels,anatomy_status,acceptance
1,86,Beretta 21A Bobcat,pistol,6730,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,2,Пистолет ПСМ,pistol,6452,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,87,Walther PPK,pistol,6665,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,1,Пистолет Макарова,pistol,6453,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,3,Пистолет ИЖ-71,pistol,6383,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,88,Glock 25,pistol,6256,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,5,Пистолет ОЦ-33 «Пернач»,pistol,6371,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,6,Револьвер Наган,pistol,4853,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,89,Walther P99,pistol,6141,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,90,CZ 75,pistol,5938,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,91,Glock 17,pistol,5989,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,92,Beretta 92FS,pistol,5574,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,93,SIG Sauer P226,pistol,6728,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,7,Пистолет ТТ,pistol,6304,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,94,HK USP,pistol,6133,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,95,Glock 22,pistol,6027,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,96,SIG Sauer P229,pistol,6682,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,97,Glock 20,pistol,6617,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,98,Colt 1911,pistol,6135,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,99,Glock 21,pistol,6102,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,100,CZ 97B,pistol,6515,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,101,HK Mark 23,pistol,5362,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,102,Taurus Judge,pistol,5639,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,103,Smith & Wesson Model 29,pistol,4013,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,104,Taurus Raging Bull,pistol,4118,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,105,Desert Eagle Mark XIX,pistol,7231,0.0,,,NOT_REVIEWED,NOT_APPROVED
1,11,Автомат АКС-74У,heavy,5179,0.0,1254,0.0,NOT_REVIEWED,NOT_APPROVED
1,12,Автомат АК-74,heavy,5442,0.0,1523,0.0,NOT_REVIEWED,NOT_APPROVED
1,37,Автомат АК-107,heavy,4010,0.0,13,0.0,NOT_REVIEWED,NOT_APPROVED
1,21,Автомат АК-12,heavy,4861,0.0,0,1.0,NOT_REVIEWED,NOT_APPROVED
1,26,Автомат АН-94 «Абакан»,heavy,4209,0.0,292,0.0,NOT_REVIEWED,NOT_APPROVED
1,17,Пулемёт РПК-74,heavy,3850,0.0,775,0.0,NOT_REVIEWED,NOT_APPROVED
1,38,Автомат ADAR 2-15,heavy,4860,0.0,229,0.0,NOT_REVIEWED,NOT_APPROVED
1,45,Автомат АК-19,heavy,4351,0.0,132,0.0,NOT_REVIEWED,NOT_APPROVED
1,57,Автомат HK416,heavy,4417,0.0,19,0.0,NOT_REVIEWED,NOT_APPROVED
1,69,Автомат CZ Bren 2,heavy,4114,0.0,152,0.0,NOT_REVIEWED,NOT_APPROVED
1,67,Пулемёт Minimi Mk3,heavy,3249,0.0,1935,0.0,NOT_REVIEWED,NOT_APPROVED
1,43,Автомат ОЦ-14 «Гроза»,heavy,4487,0.0,0,32.02,NOT_REVIEWED,NOT_APPROVED
1,16,Карабин «Вепрь»,heavy,5095,0.0,537,0.0,NOT_REVIEWED,NOT_APPROVED
1,15,Автомат АК-103,heavy,4382,0.0,493,0.0,NOT_REVIEWED,NOT_APPROVED
1,25,Пулемёт РПД,heavy,3479,0.0,0,4.12,NOT_REVIEWED,NOT_APPROVED
1,18,Автомат АС «Вал»,heavy,4209,0.0,343,0.0,NOT_REVIEWED,NOT_APPROVED
1,10,Карабин Сайга-12,heavy,5461,0.0,1962,0.0,NOT_REVIEWED,NOT_APPROVED
1,63,Автомат АК-308,heavy,4153,0.0,39,0.0,NOT_REVIEWED,NOT_APPROVED
1,51,Автомат ЛР-308,heavy,3832,0.0,0,10.0,NOT_REVIEWED,NOT_APPROVED
1,75,Автомат SCAR-H,heavy,4145,0.0,0,8.94,NOT_REVIEWED,NOT_APPROVED
1,61,Пулемёт M60E6,heavy,3714,0.0,2098,0.0,NOT_REVIEWED,NOT_APPROVED
1,59,Пулемёт M240,heavy,3550,0.0,88,0.0,NOT_REVIEWED,NOT_APPROVED
1,71,Пулемёт FN MAG,heavy,3052,0.0,1200,0.0,NOT_REVIEWED,NOT_APPROVED
