armor,weapon,name,pose,primary_overlap_pixels,primary_gap_pixels,support_overlap_pixels,support_gap_pixels,anatomy_status,acceptance
1,21,Автомат АК-12,heavy,4861,0.0,0,1.0,NOT_REVIEWED,NOT_APPROVED
1,43,Автомат ОЦ-14 «Гроза»,heavy,4487,0.0,0,32.02,NOT_REVIEWED,NOT_APPROVED
1,25,Пулемёт РПД,heavy,3479,0.0,0,4.12,NOT_REVIEWED,NOT_APPROVED
1,51,Автомат ЛР-308,heavy,3832,0.0,0,10.0,NOT_REVIEWED,NOT_APPROVED
1,75,Автомат SCAR-H,heavy,4145,0.0,0,8.94,NOT_REVIEWED,NOT_APPROVED
1,42,Винтовка SR-25,heavy,3930,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
1,40,Винтовка ВСК-94,heavy,4297,0.0,0,5.0,NOT_REVIEWED,NOT_APPROVED
1,8,ПП «Кедр»,heavy,7237,0.0,0,18.25,NOT_REVIEWED,NOT_APPROVED
1,32,Дробовик Сайга-12К,heavy,3470,0.0,0,7.07,NOT_REVIEWED,NOT_APPROVED
1,62,Дробовик Kel-Tec KSG,heavy,4503,0.0,0,9.22,NOT_REVIEWED,NOT_APPROVED
2,37,Автомат АК-107,heavy,4110,0.0,0,1.41,NOT_REVIEWED,NOT_APPROVED
2,21,Автомат АК-12,heavy,5161,0.0,0,6.32,NOT_REVIEWED,NOT_APPROVED
2,57,Автомат HK416,heavy,4536,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
2,43,Автомат ОЦ-14 «Гроза»,heavy,4768,0.0,0,45.45,NOT_REVIEWED,NOT_APPROVED
2,25,Пулемёт РПД,heavy,3392,0.0,0,9.85,NOT_REVIEWED,NOT_APPROVED
2,51,Автомат ЛР-308,heavy,3905,0.0,0,10.0,NOT_REVIEWED,NOT_APPROVED
2,75,Автомат SCAR-H,heavy,4323,0.0,0,17.0,NOT_REVIEWED,NOT_APPROVED
2,22,Пулемёт ПКМ,heavy,2352,0.0,0,1.0,NOT_REVIEWED,NOT_APPROVED
2,42,Винтовка SR-25,heavy,4012,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
2,40,Винтовка ВСК-94,heavy,4284,0.0,0,5.0,NOT_REVIEWED,NOT_APPROVED
2,73,Прототип X-17,heavy,2723,0.0,0,9.22,NOT_REVIEWED,NOT_APPROVED
2,8,ПП «Кедр»,heavy,8579,0.0,0,30.08,NOT_REVIEWED,NOT_APPROVED
2,32,Дробовик Сайга-12К,heavy,3522,0.0,0,13.42,NOT_REVIEWED,NOT_APPROVED
2,62,Дробовик Kel-Tec KSG,heavy,4561,0.0,0,15.23,NOT_REVIEWED,NOT_APPROVED
3,37,Автомат АК-107,heavy,4110,0.0,0,5.0,NOT_REVIEWED,NOT_APPROVED
3,21,Автомат АК-12,heavy,5161,0.0,0,10.2,NOT_REVIEWED,NOT_APPROVED
3,57,Автомат HK416,heavy,4536,0.0,0,6.0,NOT_REVIEWED,NOT_APPROVED
3,69,Автомат CZ Bren 2,heavy,4222,0.0,0,1.0,NOT_REVIEWED,NOT_APPROVED
3,43,Автомат ОЦ-14 «Гроза»,heavy,4768,0.0,0,46.62,NOT_REVIEWED,NOT_APPROVED
3,25,Пулемёт РПД,heavy,3392,0.0,0,13.6,NOT_REVIEWED,NOT_APPROVED
3,63,Автомат АК-308,heavy,4222,0.0,0,3.61,NOT_REVIEWED,NOT_APPROVED
3,51,Автомат ЛР-308,heavy,3905,0.0,0,14.0,NOT_REVIEWED,NOT_APPROVED
3,75,Автомат SCAR-H,heavy,4323,0.0,0,15.0,NOT_REVIEWED,NOT_APPROVED
3,22,Пулемёт ПКМ,heavy,2352,0.0,0,6.0,NOT_REVIEWED,NOT_APPROVED
3,42,Винтовка SR-25,heavy,4012,0.0,0,6.0,NOT_REVIEWED,NOT_APPROVED
3,40,Винтовка ВСК-94,heavy,4284,0.0,0,9.0,NOT_REVIEWED,NOT_APPROVED
3,73,Прототип X-17,heavy,2972,0.0,0,10.3,NOT_REVIEWED,NOT_APPROVED
3,8,ПП «Кедр»,heavy,8579,0.0,0,32.56,NOT_REVIEWED,NOT_APPROVED
3,32,Дробовик Сайга-12К,heavy,3522,0.0,0,17.46,NOT_REVIEWED,NOT_APPROVED
3,62,Дробовик Kel-Tec KSG,heavy,4561,0.0,0,19.92,NOT_REVIEWED,NOT_APPROVED
3,124,Дробовик Ithaca Mag-10,heavy,3674,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
3,125,Дробовик Remington SP-10,heavy,4839,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
4,37,Автомат АК-107,heavy,4110,0.0,0,9.0,NOT_REVIEWED,NOT_APPROVED
4,21,Автомат АК-12,heavy,5161,0.0,0,12.08,NOT_REVIEWED,NOT_APPROVED
4,26,Автомат АН-94 «Абакан»,heavy,4287,0.0,0,1.41,NOT_REVIEWED,NOT_APPROVED
4,38,Автомат ADAR 2-15,heavy,5510,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
4,45,Автомат АК-19,heavy,4424,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
4,69,Автомат CZ Bren 2,heavy,4222,0.0,0,5.83,NOT_REVIEWED,NOT_APPROVED
4,43,Автомат ОЦ-14 «Гроза»,heavy,4705,0.0,0,48.55,NOT_REVIEWED,NOT_APPROVED
4,25,Пулемёт РПД,heavy,3476,0.0,0,14.76,NOT_REVIEWED,NOT_APPROVED
4,18,Автомат АС «Вал»,heavy,4540,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
4,63,Автомат АК-308,heavy,4222,0.0,0,8.94,NOT_REVIEWED,NOT_APPROVED
4,51,Автомат ЛР-308,heavy,3905,0.0,0,20.0,NOT_REVIEWED,NOT_APPROVED
4,59,Пулемёт M240,heavy,3572,0.0,0,8.0,NOT_REVIEWED,NOT_APPROVED
4,22,Пулемёт ПКМ,heavy,2309,0.0,0,9.85,NOT_REVIEWED,NOT_APPROVED
4,29,Пулемёт «Печенег»,heavy,3642,0.0,0,4.0,NOT_REVIEWED,NOT_APPROVED
4,42,Винтовка SR-25,heavy,4012,0.0,0,13.0,NOT_REVIEWED,NOT_APPROVED
4,40,Винтовка ВСК-94,heavy,4284,0.0,0,15.0,NOT_REVIEWED,NOT_APPROVED
4,73,Прототип X-17,heavy,2989,0.0,0,10.05,NOT_REVIEWED,NOT_APPROVED
4,8,ПП «Кедр»,heavy,8579,0.0,0,25.94,NOT_REVIEWED,NOT_APPROVED
4,32,Дробовик Сайга-12К,heavy,3522,0.0,0,16.0,NOT_REVIEWED,NOT_APPROVED
4,62,Дробовик Kel-Tec KSG,heavy,4561,0.0,0,14.87,NOT_REVIEWED,NOT_APPROVED
4,124,Дробовик Ithaca Mag-10,heavy,3618,0.0,0,8.54,NOT_REVIEWED,NOT_APPROVED
4,125,Дробовик Remington SP-10,heavy,4897,0.0,0,4.0,NOT_REVIEWED,NOT_APPROVED
5,37,Автомат АК-107,heavy,4042,0.0,0,1.41,NOT_REVIEWED,NOT_APPROVED
5,21,Автомат АК-12,heavy,5119,0.0,0,9.0,NOT_REVIEWED,NOT_APPROVED
5,38,Автомат ADAR 2-15,heavy,5510,0.0,0,2.0,NOT_REVIEWED,NOT_APPROVED
5,43,Автомат ОЦ-14 «Гроза»,heavy,4743,0.0,0,10.0,NOT_REVIEWED,NOT_APPROVED
5,25,Пулемёт РПД,heavy,3392,0.0,0,10.0,NOT_REVIEWED,NOT_APPROVED
5,51,Автомат ЛР-308,heavy,3905,0.0,0,21.0,NOT_REVIEWED,NOT_APPROVED
5,22,Пулемёт ПКМ,heavy,2352,0.0,0,3.0,NOT_REVIEWED,NOT_APPROVED
5,42,Винтовка SR-25,heavy,4012,0.0,0,13.04,NOT_REVIEWED,NOT_APPROVED
5,32,Дробовик Сайга-12К,heavy,3522,0.0,0,7.0,NOT_REVIEWED,NOT_APPROVED
5,56,Дробовик AA-12,heavy,6157,0.0,0,4.0,NOT_REVIEWED,NOT_APPROVED
5,125,Дробовик Remington SP-10,heavy,4839,0.0,0,1.0,NOT_REVIEWED,NOT_APPROVED
6,43,Автомат ОЦ-14 «Гроза»,heavy,4742,0.0,0,38.47,NOT_REVIEWED,NOT_APPROVED
6,8,ПП «Кедр»,heavy,8104,0.0,0,5.39,NOT_REVIEWED,NOT_APPROVED
7,12,Автомат АК-74,heavy,6103,0.0,0,7.0,NOT_REVIEWED,NOT_APPROVED
7,37,Автомат АК-107,heavy,4110,0.0,0,26.0,NOT_REVIEWED,NOT_APPROVED
7,21,Автомат АК-12,heavy,5161,0.0,0,26.02,NOT_REVIEWED,NOT_APPROVED
7,26,Автомат АН-94 «Абакан»,heavy,4230,0.0,0,13.0,NOT_REVIEWED,NOT_APPROVED
7,17,Пулемёт РПК-74,heavy,3796,0.0,0,11.0,NOT_REVIEWED,NOT_APPROVED
7,38,Автомат ADAR 2-15,heavy,5510,0.0,0,17.0,NOT_REVIEWED,NOT_APPROVED
7,45,Автомат АК-19,heavy,4424,0.0,0,21.02,NOT_REVIEWED,NOT_APPROVED
7,57,Автомат HK416,heavy,4536,0.0,0,24.0,NOT_REVIEWED,NOT_APPROVED
7,69,Автомат CZ Bren 2,heavy,4222,0.0,0,21.0,NOT_REVIEWED,NOT_APPROVED
7,43,Автомат ОЦ-14 «Гроза»,heavy,4768,0.0,0,72.14,NOT_REVIEWED,NOT_APPROVED
7,16,Карабин «Вепрь»,heavy,5720,0.0,0,18.0,NOT_REVIEWED,NOT_APPROVED
7,15,Автомат АК-103,heavy,4777,0.0,0,16.0,NOT_REVIEWED,NOT_APPROVED
7,25,Пулемёт РПД,heavy,3392,0.0,0,12.17,NOT_REVIEWED,NOT_APPROVED
7,18,Автомат АС «Вал»,heavy,4486,0.0,0,20.0,NOT_REVIEWED,NOT_APPROVED
7,63,Автомат АК-308,heavy,4222,0.0,0,25.0,NOT_REVIEWED,NOT_APPROVED
